@_STATE,State,GENHLTH_17
1,Alabama,2.830618893
2,Alaska,2.565719638
4,Arizona,2.581198787
5,Arkansas,2.908680947
6,California,2.474887797
8,Colorado,2.436645583
9,Connecticut,2.404420098
10,Delaware,2.677458323
11,DC,2.38753878
12,Florida,2.682805204
13,Georgia,2.678830911
15,Hawaii,2.519989683
16,Idaho,2.544953004
17,Illinois,2.561947701
18,Indianna,2.726444428
19,Iowa,2.544226523
20,Kansas,2.574188527
21,Kentucky,2.840430456
22,Louisiana,2.73216885
23,Maine,2.509492365
24,Maryland,2.51641154
25,Massachusetts,2.454427083
26,Michigan,2.587565433
27,Minnesota,2.456917227
28,Mississippi,2.87214342
29,Missouri,2.712406262
30,Montana,2.580726965
31,Nebraska,2.56534202
32,Nevada,2.626461211
33,New Hampshire,2.448965397
34,New Jersey,2.581022272
35,New Mexico,2.72942796
36,New York,2.584537513
37,North Carolina,2.634865745
38,North Dakota,2.574370709
39,Ohio,2.696557897
40,Oklahoma,2.749774028
41,Oregon,2.519739292
42,Pennsylvania,2.581473555
44,Rhode Island,2.552379261
45,South Carolina,2.709397931
46,South Dakota,2.586138049
47,Tennessee,2.757316447
48,Texas,2.749408405
49,Utah,2.440054629
50,Vermont,2.427409454
51,Virginia,2.556801661
53,Washington,2.538067626
54,West Virginia,2.890899123
55,Wisconsin,2.522719449
56,Wyoming,2.54649339
66,Guam,2.76193634
72,Puerto Rico,3.033667781
