@_STATE,State,SMOKE_17,EAT_17,DRINK_17,VAPE_17,DAB_17,OTHER_17,DK_HOWUSE_17,RE_HOWUSE_17
1,Alabama,0,0,0,0,0,0,0,0
2,Alaska,337,29,8,21,7,3,0,0
4,Arizona,0,0,0,0,0,0,0,0
5,Arkansas,0,0,0,0,0,0,0,0
6,California,588,101,5,109,26,13,0,2
8,Colorado,0,0,0,0,0,0,0,0
9,Connecticut,0,0,0,0,0,0,0,0
10,Delaware,0,0,0,0,0,0,0,0
11,DC,0,0,0,0,0,0,0,0
12,Florida,0,0,0,0,0,0,0,0
13,Georgia,187,12,0,13,2,5,2,3
15,Hawaii,0,0,0,0,0,0,0,0
16,Idaho,156,17,0,9,4,0,0,1
17,Illinois,0,0,0,0,0,0,0,0
18,Indianna,0,0,0,0,0,0,0,0
19,Iowa,0,0,0,0,0,0,0,0
20,Kansas,0,0,0,0,0,0,0,0
21,Kentucky,0,0,0,0,0,0,0,0
22,Louisiana,0,0,0,0,0,0,0,0
23,Maine,0,0,0,0,0,0,0,0
24,Maryland,0,0,0,0,0,0,0,0
25,Massachusetts,0,0,0,0,0,0,0,0
26,Michigan,0,0,0,0,0,0,0,0
27,Minnesota,651,41,4,46,8,13,8,5
28,Mississippi,0,0,0,0,0,0,0,0
29,Missouri,0,0,0,0,0,0,0,0
30,Montana,0,0,0,0,0,0,0,0
31,Nebraska,0,0,0,0,0,0,0,0
32,Nevada,0,0,0,0,0,0,0,0
33,New Hampshire,244,28,3,11,5,5,2,2
34,New Jersey,0,0,0,0,0,0,0,0
35,New Mexico,0,0,0,0,0,0,0,0
36,New York,0,0,0,0,0,0,0,0
37,North Carolina,0,0,0,0,0,0,0,0
38,North Dakota,0,0,0,0,0,0,0,0
39,Ohio,0,0,0,0,0,0,0,0
40,Oklahoma,0,0,0,0,0,0,0,0
41,Oregon,0,0,0,0,0,0,0,0
42,Pennsylvania,0,0,0,0,0,0,0,0
44,Rhode Island,0,0,0,0,0,0,0,0
45,South Carolina,269,21,1,10,3,3,0,1
46,South Dakota,0,0,0,0,0,0,0,0
47,Tennessee,180,6,0,8,5,1,0,0
48,Texas,0,0,0,0,0,0,0,0
49,Utah,0,0,0,0,0,0,0,0
50,Vermont,0,0,0,0,0,0,0,0
51,Virginia,0,0,0,0,0,0,0,0
53,Washington,0,0,0,0,0,0,0,0
54,West Virginia,0,0,0,0,0,0,0,0
55,Wisconsin,0,0,0,0,0,0,0,0
56,Wyoming,155,27,1,7,2,3,0,0
66,Guam,57,2,1,0,2,1,0,0
72,Puerto Rico,102,4,0,10,3,5,1,0
