@_STATE,State,MED_17,REC_17,BOTH_17,DK_RSN_17,RE_RSN_17
1,Alabama,0,0,0,0,0
2,Alaska,129,200,74,0,2
4,Arizona,0,0,0,0,0
5,Arkansas,0,0,0,0,0
6,California,349,333,164,7,1
8,Colorado,0,0,0,0,0
9,Connecticut,0,0,0,0,0
10,Delaware,0,0,0,0,0
11,DC,0,0,0,0,0
12,Florida,0,0,0,0,0
13,Georgia,62,110,43,4,5
15,Hawaii,0,0,0,0,0
16,Idaho,67,84,36,0,0
17,Illinois,0,0,0,0,0
18,Indianna,0,0,0,0,0
19,Iowa,0,0,0,0,0
20,Kansas,0,0,0,0,0
21,Kentucky,0,0,0,0,0
22,Louisiana,0,0,0,0,0
23,Maine,0,0,0,0,0
24,Maryland,0,0,0,0,0
25,Massachusetts,0,0,0,0,0
26,Michigan,0,0,0,0,0
27,Minnesota,216,430,116,7,6
28,Mississippi,0,0,0,0,0
29,Missouri,0,0,0,0,0
30,Montana,0,0,0,0,0
31,Nebraska,0,0,0,0,0
32,Nevada,0,0,0,0,0
33,New Hampshire,106,147,42,3,2
34,New Jersey,0,0,0,0,0
35,New Mexico,0,0,0,0,0
36,New York,0,0,0,0,0
37,North Carolina,0,0,0,0,0
38,North Dakota,0,0,0,0,0
39,Ohio,0,0,0,0,0
40,Oklahoma,0,0,0,0,0
41,Oregon,0,0,0,0,0
42,Pennsylvania,0,0,0,0,0
44,Rhode Island,0,0,0,0,0
45,South Carolina,110,149,44,2,0
46,South Dakota,0,0,0,0,0
47,Tennessee,79,87,31,1,1
48,Texas,0,0,0,0,0
49,Utah,0,0,0,0,0
50,Vermont,0,0,0,0,0
51,Virginia,0,0,0,0,0
53,Washington,0,0,0,0,0
54,West Virginia,0,0,0,0,0
55,Wisconsin,0,0,0,0,0
56,Wyoming,54,102,37,2,0
66,Guam,15,38,9,0,1
72,Puerto Rico,30,83,10,1,1
