@_STATE,State,Prohibited,Tax_Revenue_Millions
1,Alabama,1,
2,Alaska,,11.1
4,Arizona,,
5,Arkansas,,
6,California,,300
8,Colorado,,266.6
9,Connecticut,,
10,Delaware,,
11,DC,,
12,Florida,,
13,Georgia,1,
15,Hawaii,,
16,Idaho,1,
17,Illinois,,
18,Indiana,1,
19,Iowa,1,
20,Kansas,1,
21,Kentucky,1,
22,Louisiana,,
23,Maine,,0
24,Maryland,,
25,Massachusetts,,5.2
26,Michigan,,0
27,Minnesota,,
28,Mississippi,1,
29,Missouri,,
30,Montana,,
31,Nebraska,1,
32,Nevada,,69.8
33,New Hampshire,,
34,New Jersey,,
35,New Mexico,,
36,New York,,
37,North Carolina,1,
38,North Dakota,,
39,Ohio,,
40,Oklahoma,,
41,Oregon,,94.4
42,Pennsylvania,,
44,Rhode Island,,
45,South Carolina,1,
46,South Dakota,1,
47,Tennessee,1,
48,Texas,1,
49,Utah,,
50,Vermont,,0
51,Virginia,1,
53,Washington,,319
54,West Virginia,,
55,Wisconsin,1,
56,Wyoming,1,
66,Guam,,
72,Puerto Rico,,
