@_STATE,State,MARIJANA_17
1,Alabama,0
2,Alaska,6929
4,Arizona,0
5,Arkansas,0
6,California,12703
8,Colorado,0
9,Connecticut,0
10,Delaware,0
11,DC,0
12,Florida,0
13,Georgia,3676
15,Hawaii,0
16,Idaho,2492
17,Illinois,0
18,Indianna,0
19,Iowa,0
20,Kansas,0
21,Kentucky,0
22,Louisiana,0
23,Maine,0
24,Maryland,0
25,Massachusetts,0
26,Michigan,0
27,Minnesota,11159
28,Mississippi,0
29,Missouri,0
30,Montana,0
31,Nebraska,0
32,Nevada,0
33,New Hampshire,4268
34,New Jersey,0
35,New Mexico,0
36,New York,0
37,North Carolina,0
38,North Dakota,0
39,Ohio,0
40,Oklahoma,0
41,Oregon,0
42,Pennsylvania,0
44,Rhode Island,0
45,South Carolina,4573
46,South Dakota,0
47,Tennessee,3219
48,Texas,0
49,Utah,0
50,Vermont,0
51,Virginia,0
53,Washington,0
54,West Virginia,0
55,Wisconsin,0
56,Wyoming,2553
66,Guam,706
72,Puerto Rico,1762
